Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$125K - $154K (Glassdoor est.),Data Scientist,"Are you passionate about using data, finding insights, and trying to explain why things are what they are? If so, read on.

As part of the advanced analytics team, the Data Scientist will be a key player on an innovative team that develops and provides actionable insights across the organization. S/he will help to evolve existing forecasting methodologies across different parts of the organization and develop sophisticated models, using machine learning algorithms and advanced analytics. This role will be responsible for developing long and short-term product demand forecasts in multiple markets and across multiple channels to help drive down supply chain costs (freight, inventory levels). The successful individual will conduct multiple tasks and projects simultaneously, maintain strong relationships with stakeholders, and own deliverables end to end.

Essential Functions and Key Responsibilities:
TaylorMade Golf Company is an equal opportunity employer. All qualified applicants receive consideration for employment without regard to race, religious creed, color, national origin or ancestry, physical or mental disability, medical condition, genetic information, marital status, sex, pregnancy, gender, gender identity, gender expression, age, sexual orientation, military and veteran status or any other basis protected by federal, state or local law, ordinance, or regulation.",TaylorMade Golf,4.3,"Carlsbad, CA",1001 to 5000 Employees,1979,Company - Private,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD)
Data Scientist,$83K - $135K (Glassdoor est.),Data Scientist,"Data Scientist

Language: English

Location: Memphis, TN

Travel: <10>

Buckman is a privately held, global specialty chemical company with headquarters in Memphis, TN, USA, committed to safeguarding the environment, maintaining safety in the workplace, and promoting sustainable development. Buckman delivers exceptional service and innovative solutions to our customers globally in the pulp and paper, leather, and water treatment sectors to help boost productivity, reduce risk, improve product quality, and provide a measurable return on investment. Buckman is in the middle of a digital transformation of its businesses and focused on building the capabilities and tools in support of this.


Buckman is seeking an experienced Data Scientist to lead the development of a Data Science program at our Memphis facility. You will work closely with Buckman stakeholders to derive deep industry knowledge across paper, water, leather, and performance chemical industries. You will help develop a data strategy for the company including collection of the right data, creation of the data science project portfolio, partnering with external providers, and augmenting capabilities with additional internal hires. A large part of the job is communicating and developing relationship with key stakeholders and subject matter experts to tee up proofs of concept projects to demonstrate how data science can be used to solve old problems in unique and novel ways. You will not have a large internal team to rely on, at least initially, so individual expertise, breadth of data science knowledge, and ability to partner with external companies will be essential for success. In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers, network engineers, mechanical/electrical engineers, and chemical engineers in the development, and deployment of IoT solutions. If you like working for an entrepreneurial company with a Sustainability mission and digital ambitions at the core of its strategy, Buckman is the place for you.",Buckman,3.8,"Memphis, TN",1001 to 5000 Employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD)
Machine Learning Engineer,$64K - $116K (Glassdoor est.),Machine Learning Engineer,"We are engineers, high line workers, power plant managers, accountants, electricians, project coordinators, risk analysts, customer service operators, community representatives, safety and security specialists, communicators, human resources partners, information technology technicians and much, much more. We are 3,300 people committed to enhancing the lives of the communities we serve. Together, we are powering the growth and success of our community progress every day!

Grade: 14, 15, 16

Qualifications may warrant placement in a different job level.",CPS Energy,3.6,"San Antonio, TX",1001 to 5000 Employees,1942,Self-employed,Energy,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD)
"Sr Scientist, Molecular Engineering",-1,Research Scientist,"NexImmune is a clinical-stage biotechnology company developing a novel approach to immunotherapy designed to employ the body’s own T cells to generate a specific, potent, and durable immune response that mimics natural biology. We are seeking highly skilled and motivated individuals to join an entrepreneurial team of experienced professionals dedicated to science, patients and addressing diseases with significant unmet need. We are a company with an uncompromising commitment to shared values, a strong work ethic, and respect for individuals. We set clear expectations, empower people to succeed, and reward results. Our executive team, Board of Directors, and investors include several successful industry veterans committed to building an exceptional company capable of transforming the field of immunotherapy.
The backbone of NexImmune’s approach is its proprietary Artificial Immune Modulation (AIMTM) nanoparticle technology platform. The AIM technology enables NexImmune to construct nanoparticles that function as synthetic dendritic cells capable of directing a specific T cell-mediated immune response. By mimicking natural T cell biology, NexImmune’s T cell product candidates are designed to combine the attributes of cellular precision, potency, and persistence with reduced potential for undesired toxicities.",NexImmune,-1,"Gaithersburg, MD",-1,-1,-1,-1,-1,-1
Data Scientist,$64K - $106K (Glassdoor est.),Data Scientist,"Secure our Nation, Ignite your Future
Overview
Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of solutions to promote efficient trade and travel. Further, effective solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.
As a Data Scientist on our team, a proven track record of delivering production ready decision support tools and applications employed in the field and by mission-support entities. Further, highly competitive applicants will have a demonstrated capacity to: work closely and collaboratively with mission stakeholders; respond to emergent, mission-driven changes in priorities and expected outcomes; and, apply new and emerging tools and techniques.",ManTech International Corporation,4.3,"Alexandria, VA",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD)
Principal Data Scientist,-1,Data Scientist,"Working out of our Chevy Chase, MD/Washington DC office, GEICO's Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Principal Data Scientist, you will work with a talented and diverse team of data scientists with responsibility to:
Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data solutions with measurable business value",GEICO,3.5,"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
Principal Scientist,-1,Research Scientist,"Company Description
Personalized immunotherapies are the future of the fight against cancer, and IsoPlexis (www.isoplexis.com) is Making the Difference in enabling the lofty goal of employing immunotherapies to combat our toughest diseases. Our integrated systems, named #1 Innovation by Scientist Magazine & World-Leading Design by Red Dot, are changing cancer research by connecting biological readouts to what is actually happening in patients. Our game changing hardware technologies, originally from Cal Tech and Yale, combined with our next generation software and data visualizations, are powered by our amazing R&D team and used throughout the world. We work with a growing list of leading researchers who are publishing findings that connect our readouts to what is truly happening in patients, and that excites & drives all of us to do more! If you like working at the intersection of biological sciences and healthcare, and you enjoy intellectually challenging yet fulfilling projects, give us a call. Our fast growing, 125+ person team has a sense of integrity, energy, and urgency to ‘make things happen’ in our collective careers and in the broader world, and we look forward to talking.",IsoPlexis,3.5,"Branford, CT",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
Data & Analytics Consultant,$81K - $123K (Glassdoor est.),Analytics Consultant,"WHO WE LOOK FOR

An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.

As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.

As every project is different, an SEI Consultant must be with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family.



Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.

We are actively looking for professionals in the following areas:
The ideal candidate will:
Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Experience may include but is not limited to the following:",SEI,4.6,"Cincinnati, OH",201 to 500 Employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD)
Data Scientist,$90K - $105K (Glassdoor est.),Data Scientist,"XL Fleet seeks an experienced Data Scientist to support the data science activity for hybrid electric, plugin hybrid electric and full electric vehicle product lines.

About XL Fleet:

XL Fleet is on a mission to electrify the global fleet of commercial vehicles. We know this mission can only be successfully with the right talent.

XL is a high-growth commercial vehicle technology company. We are developing and producing cutting-edge technology to convert conventional vehicles into hybrids, plug-in hybrids and zero CO2 drive systems to reduce fuel consumption and to generate a compelling return on investment for fleet customers. Our customers include transportation, municipal, and utility fleets.

XL was honored as one of Boston Business Journal's Best Places to Work in 2018. We are an ambitious and small (but rapidly growing) team. We have a state-of-the-art engineering facility in Boston, California and Detroit and a production facility in Quincy, IL. We are looking for high-energy, creative, and ambitious professionals to join our team. We offer a competitive salary, meaningful equity compensation, 401k (with a company match), outstanding health benefits, progressive paid-time off policy, and a fun, productive and team-oriented work environment. We are recruiting candidates who have demonstrated leadership and excellence throughout their careers and are excited by the prospect of tackling the challenges of rapid profitable growth.



Responsibilities
Additional Responsibilities based on experience/interests
Minimum Qualifications
Preferred Qualifications
Contact: please send your resume to careers@xlfleet.com with “Data Scientist” in the subject heading",XL Fleet,5.0,"Detroit, MI",51 to 200 Employees,2012,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10 to $25 million (USD)
Data Scientist - Customer Marketing,-1,Data Scientist,"The Data Analyst will primarily support Marketing and Merchandising by helping to uncover insights and drive business decisions through data analytics.

Major responsibilities of the position are listed below. To perform the job successfully, an individual must be able to execute each duty at a minimum at a satisfactory-level. Other duties, assignments and specific projects may be assigned at the discretion of management. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Accurately gather business requirements for analytics projects and solutions

Comprehend the business questions, identify the appropriate data, gather, analyze, and present findings

Demonstrate an understanding of database design and query optimization

Compile/merge data from many sources

Build dashboards in Tableau and pivot tables in Excel

Coordinate with Marketing and Merchandising to support their initiatives and make data-driven decisions

Develop metrics for segment-based customer marketing and personalization

Identify ways to deliver more insights to the business, at a faster pace

Demonstrate a strong understanding of statistics as well as digital data

Apply statistics and machine learning to business decision making

Bachelor's Degree in Mathematics, Statistics, Economics, Engineering or other quantitative fields preferred

Strong mathematical and statistical knowledge to resolve business problems required

Experience writing code using SQL and SAS required

Must have intermediate + Excel and PowerPoint skills

Ability to read, analyze and interpret both marketing and financial reports

3-5 years' experience in an analytics-role required

Retail/ecommerce experience preferred

Ability to work flexible shifts and days of the week including holidays

INDCH",Harry & David,4.1,"Medford, OR",501 to 1000 Employees,1934,Company - Public,Food & Beverage Stores,Retail,$100 to $500 million (USD)
